Site,SiteNumber,Seconds,DateTime,Latitude,Longitude,SignificantWaveHeight,MaxWaveHeight,PeakEnergyWavePeriod,ZeroUpcrossingWavePeriod,SeaSurfaceTemperature,Direction,Current Speed,Current Direction
Tweed Heads Mk4,4225,1712698200,2024-04-10T07:30:00,-28.17749,153.57665,1.01,1.83,8,5.79,24.27,107.34,0.44,334.51
Tweed Heads Mk4,4225,1712700000,2024-04-10T08:00:00,-28.1775,153.57667,1.04,1.56,9.09,5.86,24.22,119.91,0.27,329.58
Tweed Heads Mk4,4225,1712701800,2024-04-10T08:30:00,-28.1775,153.57667,1.11,1.6,8.33,6.2,24.22,103.65,0.24,328.97
Tweed Heads Mk4,4225,1712703600,2024-04-10T09:00:00,-28.17749,153.57675,1.17,2.16,9.09,5.61,24.22,123.52,0.22,349.63
Tweed Heads Mk4,4225,1712705400,2024-04-10T09:30:00,-28.17749,153.57677,1,1.68,9.09,5.43,24.22,115.87,0.19,344.7
Tweed Heads Mk4,4225,1712707200,2024-04-10T10:00:00,-28.17745,153.57682,1.02,2.09,11.11,5.14,24.22,96.18,0.18,348.66
Tweed Heads Mk4,4225,1712709000,2024-04-10T10:30:00,-28.17749,153.57677,0.93,1.62,9.52,4.97,24.31,105.5,0.17,0.79
Tweed Heads Mk4,4225,1712710800,2024-04-10T11:00:00,-28.17747,153.57686,1.03,1.62,14.29,5.41,24.36,71.48,0.13,19.25
Tweed Heads Mk4,4225,1712712600,2024-04-10T11:30:00,-28.17747,153.57688,0.96,1.71,13.33,5.17,24.4,76.05,0.14,9.14
Tweed Heads Mk4,4225,1712714400,2024-04-10T12:00:00,-28.17745,153.57697,1.01,1.64,14.29,5,24.45,73.5,0.24,16.97
Tweed Heads Mk4,4225,1712716200,2024-04-10T12:30:00,-28.17743,153.57686,0.95,1.64,14.29,4.79,24.45,74.2,0.27,6.15
Tweed Heads Mk4,4225,1712718000,2024-04-10T13:00:00,-28.17749,153.57682,0.9,1.52,9.09,4.61,24.4,109.28,0.22,0.62
Tweed Heads Mk4,4225,1712719800,2024-04-10T13:30:00,-28.17749,153.57673,0.95,1.52,9.52,4.9,24.5,101.45,0.28,344.7
Tweed Heads Mk4,4225,1712721600,2024-04-10T14:00:00,-28.17747,153.57671,0.93,1.49,10,5.05,24.45,99.34,0.42,324.4
Tweed Heads Mk4,4225,1712723400,2024-04-10T14:30:00,-28.17752,153.57665,0.99,1.83,9.52,5.49,24.45,114.55,0.45,328.7
Tweed Heads Mk4,4225,1712725200,2024-04-10T15:00:00,-28.17749,153.57665,1.04,1.73,13.33,5.73,24.5,78.68,0.3,325.89
Tweed Heads Mk4,4225,1712727000,2024-04-10T15:30:00,-28.17749,153.57669,1.16,2.11,13.33,5.56,24.73,80.18,0.53,325.63
Tweed Heads Mk4,4225,1712728800,2024-04-10T16:00:00,-28.17745,153.57671,1.3,1.88,12.5,5.71,24.59,96.71,0.51,319.12
Tweed Heads Mk4,4225,1712730600,2024-04-10T16:30:00,-28.17749,153.57667,1.38,2.46,12.5,5.95,24.45,112.18,0.42,327.91
Tweed Heads Mk4,4225,1712732400,2024-04-10T17:00:00,-28.17752,153.57658,1.48,2.33,12.5,5.81,24.82,106.46,0.39,312
Tweed Heads Mk4,4225,1712734200,2024-04-10T17:30:00,-28.1775,153.5766,1.64,2.6,11.76,6.02,25.14,107.52,0.36,322.2
Tweed Heads Mk4,4225,1712736000,2024-04-10T18:00:00,-28.1775,153.57656,1.53,2.39,11.76,5.85,25.1,107.17,0.35,307.43
Tweed Heads Mk4,4225,1712737800,2024-04-10T18:30:00,-28.17752,153.57654,1.49,2.68,9.09,5.26,24.68,118.07,0.42,313.23
Tweed Heads Mk4,4225,1712739600,2024-04-10T19:00:00,-28.17749,153.57656,1.56,2.66,13.33,5.77,24.5,92.93,0.37,315.08
Tweed Heads Mk4,4225,1712741400,2024-04-10T19:30:00,-28.17747,153.57662,1.48,2.34,9.52,5.65,24.36,117.01,0.43,325.01
Tweed Heads Mk4,4225,1712743200,2024-04-10T20:00:00,-28.17747,153.57662,1.36,2.28,13.33,5.65,24.36,94.51,0.41,324.66
Tweed Heads Mk4,4225,1712745000,2024-04-10T20:30:00,-28.1775,153.57658,1.28,2.04,14.29,5.84,24.36,92.66,0.35,317.45
Tweed Heads Mk4,4225,1712746800,2024-04-10T21:00:00,-28.17747,153.57654,1.3,2.06,13.33,6.14,24.36,101.89,0.62,322.29
Tweed Heads Mk4,4225,1712748600,2024-04-10T21:30:00,-28.17743,153.57656,1.1,2.3,12.5,5.79,24.36,98.82,0.61,320.09
Tweed Heads Mk4,4225,1712750400,2024-04-10T22:00:00,-28.17743,153.57654,1.18,1.73,14.29,6.16,24.31,82.73,0.67,318.68
Tweed Heads Mk4,4225,1712752200,2024-04-10T22:30:00,-28.17745,153.57656,1.08,1.71,13.33,5.61,24.31,87.04,0.65,319.47
Tweed Heads Mk4,4225,1712754000,2024-04-10T23:00:00,-28.17743,153.57662,1.11,1.95,11.76,5.61,24.27,99.17,0.46,340.66
Tweed Heads Mk4,4225,1712755800,2024-04-10T23:30:00,-28.1775,153.57652,1.09,1.7,14.29,5.17,24.27,75.52,0.35,322.99
Tweed Heads Mk4,4225,1712757600,2024-04-11T00:00:00,-28.17745,153.5766,1.08,1.97,13.33,5.25,24.22,88.71,0.19,337.58
Tweed Heads Mk4,4225,1712759400,2024-04-11T00:30:00,-28.17745,153.57673,1.12,1.73,14.29,5.26,24.17,92.4,0.13,64.26
